stage,artifact_id,pdf_essential_artifact,canonical_path,status,accountable_role,exit_evidence
01,S01-A01,Engagement charter,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,PRESENT_INTERNAL,Capstone Owner,Human mandate confirmation pending
01,S01-A02,Scope,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,PRESENT_INTERNAL,Capstone Owner,Scope and exclusions stated
01,S01-A03,Outcome statement,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,PRESENT_INTERNAL,Capstone Owner,Synthetic outcome stated
01,S01-A04,Sponsor and owner,docs/stages/stage_01/01_ENGAGEMENT_CHARTER.md,EXTERNAL_REQUIRED,Sponsor,Named owner and signoff pending
01,S01-A05,Governance RACI,docs/stages/stage_01/04_GOVERNANCE_RACI_AND_DECISION_RIGHTS.md,PARTIAL,Capstone Owner,Role hypotheses require confirmation
01,S01-A06,Stakeholder and affected-groups maps,docs/stages/stage_01/03_STAKEHOLDER_AND_AFFECTED_GROUPS_MAP.md,PARTIAL,Capstone Owner,No field stakeholder interviews
01,S01-A07,Field-evidence register,docs/stages/stage_01/05_FIELD_EVIDENCE_REGISTER.md,PRESENT_INTERNAL,Evidence Owner,Frozen source locators recorded
01,S01-N01,Merged participant engagement charter,docs/stages/01_mandate_and_field_immersion/engagement-charter.md,COMPLETED,Capstone Owner,Named-folder charter completed in academic scope; AI cannot replace QA Release Authority
01,S01-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Charter constraint recorded: AI cannot issue clinical quality-release COI or COC decisions. Exception detector is observe/recommend only.
01,S01-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Identity reconciliation is in scope as evidence work; never merge on conflict and never replace QA.
01,S01-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,Control Tower exists in the merged repo; Stage 01 charter still does not treat UI as the mandate artifact.
01,S01-M04,Governance and audit (merged capability),docs/stages/stage_01/04_GOVERNANCE_RACI_AND_DECISION_RIGHTS.md,VERIFIED,AI Governance Owner,RACI and decision rights recorded; named sponsor signoff still external.
02,S02-A01,SIPOC,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Architecture Owner,Synthetic process reconstruction
02,S02-A02,Process and value-stream maps,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Architecture Owner,Journey and exceptions shown
02,S02-A03,Waste register,docs/stages/stage_02/04_WASTE_DEPENDENCY_AND_RISK_REGISTER.md,PRESENT_INTERNAL,Operations Owner,Shadow work and waste evidenced
02,S02-A04,System landscape,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Architecture Owner,Source boundaries described
02,S02-A05,Brownfield assessment,docs/stages/stage_02/02_BROWNFIELD_8_LENS_ASSESSMENT.md,PRESENT_INTERNAL,Architecture Owner,Eight-lens evidence baseline
02,S02-A06,Current-state C4 views,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PARTIAL,Architecture Owner,Context view only and no field topology validation
02,S02-A07,Dependencies,docs/stages/stage_02/04_WASTE_DEPENDENCY_AND_RISK_REGISTER.md,PRESENT_INTERNAL,Architecture Owner,Cross-domain dependency register
02,S02-A08,Data flows,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Data Owner,Source flow assessment
02,S02-A09,Trust boundaries,docs/stages/stage_02/03_CURRENT_STATE_PROCESS_AND_ARCHITECTURE.md,PRESENT_INTERNAL,Security Owner,Preliminary trust-boundary table
02,S02-N01,Merged participant brownfield assessment,docs/stages/02_discover_process_and_architecture/brownfield-assessment.md,COMPLETED,Architecture Owner,Named-folder brownfield assessment completed against frozen source evidence
02,S02-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Exception detector reconstructs current-state conflicts from frozen CSVs without rewriting source systems.
02,S02-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Resolver compares frozen source identifiers; conflicts stay visible in the current-state reconstruction.
02,S02-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,Browser views show reconstructed journeys; they do not rewrite brownfield systems.
02,S02-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Governance of shadow-ops evidence is documented; field interviews remain absent.
03,S03-A01,SCQA problem frame,docs/stages/stage_03/01_SCQA_AND_PRIORITIZED_PROBLEM.md,PRESENT_INTERNAL,Product Owner,Evidence-backed priority statement
03,S03-A02,Root-cause analysis,docs/stages/stage_03/02_ROOT_CAUSE_ANALYSIS.md,PRESENT_INTERNAL,Product Owner,Causal hypotheses linked to source findings
03,S03-A03,Baseline dataset,docs/stages/stage_03/kpi_baseline.csv,PARTIAL,Analytics Owner,Reproduced forensic metrics but business formulas absent
03,S03-A04,KPI tree,docs/stages/stage_03/03_KPI_TREE_AND_BASELINE.md,PRESENT_INTERNAL,Analytics Owner,North-star and counter-metrics defined
03,S03-A05,CTQs,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Product Owner,P0 and value-critical qualities defined
03,S03-A06,Value hypothesis,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Product Owner,Hypothesis not claimed achieved
03,S03-A07,Counter-metrics,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Analytics Owner,False-block and burden guards
03,S03-A08,Success and failure criteria,docs/stages/stage_03/04_VALUE_CTQ_AND_SUCCESS_CRITERIA.md,PRESENT_INTERNAL,Product Owner,POC thresholds distinct from outcome
03,S03-N01,Merged participant SCQA problem frame,docs/stages/03_frame_problem_root_cause_and_value/scqa-problem-frame.md,COMPLETED,Product Owner,Named-folder SCQA completed; value not claimed as observed benefit
03,S03-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Intelligence ranks process failures behind the SCQA; it does not claim observed business benefit.
03,S03-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Root-cause of identifier collision is explained without collapsing rows.
03,S03-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,Dashboard frames the SCQA; it does not display observed after-intervention KPIs.
03,S03-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Success criteria separate POC thresholds from claimed outcomes.
04,S04-A01,Impact and regulatory screen,docs/stages/stage_04/01_INTENDED_PURPOSE_AND_APPLICABILITY_SCREEN.md,PARTIAL,Legal Regulatory Privacy,Expert applicability determination open
04,S04-A02,Prohibited-use check,docs/stages/stage_04/04_AUTHORITY_AND_PROHIBITED_USE_POLICY.md,PRESENT_INTERNAL,AI Governance Owner,Academic prohibited actions defined
04,S04-A03,AI suitability assessment,docs/stages/stage_04/03_AI_SUITABILITY_AND_NON_AI_ALTERNATIVE.md,PRESENT_INTERNAL,Product Owner,Deterministic first choice documented
04,S04-A04,Non-AI alternative,docs/stages/stage_04/03_AI_SUITABILITY_AND_NON_AI_ALTERNATIVE.md,PRESENT_INTERNAL,Product Owner,AI-off path preserved
04,S04-A05,Use-case card,docs/stages/stage_04/02_USE_CASE_CARDS_AND_AI_BOUNDARIES.md,PRESENT_INTERNAL,Product Owner,Three POC cards and AI boundary
04,S04-A06,Value-risk-feasibility matrix,docs/stages/stage_04/05_VALUE_RISK_FEASIBILITY_AND_G1_DECISION.md,PRESENT_INTERNAL,Product Owner,Internal academic decision only
04,S04-A07,Go-no-go and kill criteria,docs/stages/stage_04/05_VALUE_RISK_FEASIBILITY_AND_G1_DECISION.md,PRESENT_INTERNAL,Capstone Owner,P0 containment rules documented
04,S04-N01,Merged participant AI suitability assessment,docs/stages/04_triage_regulation_and_qualify_use_case/ai-suitability-assessment.md,COMPLETED,Product Owner,Named-folder suitability completed; deterministic first and AI-off path retained
04,S04-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Suitability boundary holds: intelligence is advisory and the AI-off path remains.
04,S04-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Use-case card: reconciliation is human-authorized; AI cannot execute COI merge.
04,S04-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,UI cannot issue prohibited clinical or release actions.
04,S04-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Prohibited-use and authority policy is the G1 containment control.
05,S05-A01,Glossary,docs/stages/stage_05/01_DOMAIN_GLOSSARY.md,PRESENT_INTERNAL,Domain Owner,Ubiquitous language defined
